B(mT);z(cm)
0.29;0
0.3;1
0.32;2
0.33;3
0.36;4
0.38;5
0.4;6
0.4;7
0.43;8
0.44;9
0.45;10
0.43;11
0.4;12
0.37;13
0.33;14
0.29;15
0.26;16
0.23;17
0.23;18
0.2;19
0.19;20
