B(mT);z(cm)
0.25;-24
0.25;-23
0.25;-22
0.27;-21
0.25;-20
0.26;-19
0.26;-18
0.26;-17
0.25;-16
0.25;-15
0.24;-14
0.24;-13
0.23;-12
0.22;-11
0.2;-10
0.19;-9
0.19;-8
0.18;-7
0.17;-6
0.18;-5
0.18;-4
0.17;-3
0.17;-2
0.17;-1
0.16;0
0.17;1
0.17;2
0.17;3
0.18;4
0.18;5
0.19;6
0.18;7
0.19;8
0.2;9
0.21;10
0.22;11
0.23;12
0.24;13
0.24;14
0.25;15
0.25;16
0.26;17
0.26;18
0.26;19
0.25;20
0.25;21
0.24;22
0.24;23
0.23;24
