B(mT);z(cm)
-0.01;0
-0.02;1
-0.04;2
-0.06;3
-0.08;4
-0.09;5
-0.1;6
-0.09;7
0.1;12
0.15;13
0.16;14
0.15;15
0.14;16
0.13;17
0.12;18
0.11;19
0.1;20
