B(mT);z(cm)
0.33;0
0.34;1
0.34;2
0.34;3
0.34;4
0.35;5
0.35;6
0.36;7
0.35;8
0.35;9
0.34;10
0.34;11
0.33;12
0.3;13
0.3;14
0.27;15
0.26;16
0.24;17
0.23;18
0.21;19
0.2;20
