B(mT);z(cm)
0.34;0
0.34;1
0.33;2
0.33;3
0.33;4
0.33;5
0.33;6
0.32;7
0.32;8
0.33;9
0.32;10
0.32;11
0.31;12
0.3;13
0.29;14
0.28;15
0.26;16
0.25;17
0.24;18
0.23;19
0.22;20
