B(mT);z(cm)
0.22;-18
0.24;-16
0.27;-14
0.29;-12
0.32;-10
0.32;-8
0.33;-6
0.32;-4
0.35;-2
0.33;0
0.34;2
0.33;4
0.32;6
0.32;8
0.31;10
0.31;12
0.28;14
0.25;16
0.22;18
