z(cm);B(mT)
0;0.05
2;0.09
4;0.12
6;0.15
8;0.2
10;0.25
12;0.28
14;0.29
16;0.3
18;0.31
20;0.32
22;0.3
24;0.29
26;0.27
28;0.25
30;0.19
32;0.14
34;0.11
36;0.09
38;0.06
40;0.03
