B(mT);z(cm)
0.31;0
0.32;1
0.33;2
0.33;3
0.34;4
0.36;5
0.36;6
0.38;7
0.38;8
0.39;9
0.38;10
0.37;11
0.35;12
0.32;13
0.3;14
0.28;15
0.25;16
0.24;17
0.2;18
0.19;19
0.18;20
