B(mT);z(cm)
-0.01;0
-0.03;1
-0.07;2
-0.09;3
-0.12;4
-0.15;5
-0.19;6
0.27;12
0.25;13
0.22;14
0.2;15
0.17;16
0.16;17
0.13;18
0.12;19
0.11;20
